Symbol,Date,Open,High,Low,Close,Volume
A,26 Sep 2023,110.88,112.25,110.68,110.73,1399800
AA,26 Sep 2023,26.36,26.7496,25.59,25.86,6536800
AAC,26 Sep 2023,10.76,10.76,10.73,10.76,157700
AAC.T,26 Sep 2023,0.27,0.3089,0.23,0.26,49600
AAC.W,26 Sep 2023,0.78,0.78,0.68,0.68,9600
AACT,26 Sep 2023,10.26,10.27,10.26,10.26,33400
AAI-C,26 Sep 2023,24,24.0001,23.9899,23.9899,1600
AAIC,26 Sep 2023,4.33,4.35,4.22,4.23,137500
AAIN,26 Sep 2023,23.49,23.55,23.49,23.55,300
AAN,26 Sep 2023,10.43,10.63,10.24,10.29,531100
AAP,26 Sep 2023,56.47,56.47,54.94,54.95,2108600
AAT,26 Sep 2023,18.82,19.06,18.695,18.87,447500
AB,26 Sep 2023,31.07,31.4299,30.84,30.88,222000
ABBV,26 Sep 2023,154.4,154.6,153.33,153.91,3936200
ABEV,26 Sep 2023,2.6,2.6259,2.57,2.57,26623800
ABG,26 Sep 2023,221.53,225.25,220.975,221.56,113900
ABM,26 Sep 2023,39.15,39.575,38.945,38.96,494800
ABR,26 Sep 2023,14.67,15,14.65,14.73,2398100
ABR-D,26 Sep 2023,18.11,18.33,18,18,15200
ABR-E,26 Sep 2023,18.1,18.11,17.75,17.75,3500
ABR-F,26 Sep 2023,19.75,19.8,19.3677,19.5,11600
ABT,26 Sep 2023,97.05,97.53,96.03,96.23,3967800
AC,26 Sep 2023,36.54,36.57,36.0701,36.1,7600
ACA,26 Sep 2023,73.44,74.31,73.18,73.21,367000
ACCO,26 Sep 2023,5.8,5.845,5.75,5.75,495100
ACEL,26 Sep 2023,10.71,10.835,10.66,10.72,333800
ACH.W,26 Sep 2023,1.15,1.19,1.06,1.12,51100
ACHR,26 Sep 2023,4.98,5.12,4.79,4.8,7687000
ACI,26 Sep 2023,23.22,23.24,22.98,23.03,5607300
ACM,26 Sep 2023,81.53,82.36,81.53,81.75,730200
ACN,26 Sep 2023,312.72,314.49,308.73,310.61,2343600
ACP,26 Sep 2023,6.9,6.9199,6.8,6.8,299600
ACP-A,26 Sep 2023,22.89,22.9,22.8,22.8,600
ACR,26 Sep 2023,8.21,8.242,8.21,8.21,1800
ACR-C,26 Sep 2023,22.199,22.199,22.15,22.15,6000
ACR-D,26 Sep 2023,19.06,19.1899,19.05,19.1899,1200
ACR.W,26 Sep 2023,0.0913,0.0973,0.0775,0.0789,35900
ACRE,26 Sep 2023,9.81,9.9,9.71,9.71,476700
ACV,26 Sep 2023,18.35,18.45,18.1308,18.2,30800
ADC,26 Sep 2023,56.47,56.6,55.1,55.18,1160100
ADC-A,26 Sep 2023,16.5,16.529,16.25,16.26,8600
ADCT,26 Sep 2023,0.82,0.9372,0.785,0.91,485700
ADM,26 Sep 2023,76.79,77.13,75.83,76.07,2200100
ADNT,26 Sep 2023,36.52,37.01,35.835,35.95,575100
ADT,26 Sep 2023,5.85,6.05,5.84,5.85,2405300
ADX,26 Sep 2023,16.78,16.79,16.6,16.62,211900
AEE,26 Sep 2023,79.46,79.67,76.51,76.85,1680500
AEFC,26 Sep 2023,20.11,20.18,19.951,20.01,69400
AEG,26 Sep 2023,4.91,4.93,4.85,4.86,1682600
AEL,26 Sep 2023,53.83,53.94,53.65,53.65,756900
AEL-A,26 Sep 2023,21.95,22.065,21.55,21.63,24500
AEL-B,26 Sep 2023,23.88,24.0199,23.56,23.76,22100
AEM,26 Sep 2023,48.18,48.36,47,47.01,2882700
AENZ,26 Sep 2023,2.37,2.37,2.37,2.37,200
AEO,26 Sep 2023,15.25,15.66,15.19,15.25,6631600
AER,26 Sep 2023,62.26,63.3823,62.02,62.65,1618600
AES,26 Sep 2023,16.17,16.22,15.745,15.86,6904300
AESC,26 Sep 2023,64.58,64.805,63.19,63.6,2200
AESI,26 Sep 2023,23.66,24.35,23.5,24.17,902700
AEV.W,26 Sep 2023,0.038,0.0395,0.0356,0.0386,41300
AEVA,26 Sep 2023,0.7074,0.748,0.7074,0.7174,801100
AFB,26 Sep 2023,9.8,9.8,9.61,9.65,74700
AFG,26 Sep 2023,112.88,113.3,111.665,111.69,286800
AFGB,26 Sep 2023,23.0187,23.0187,22.67,22.75,5300
AFGC,26 Sep 2023,19.6,19.69,19.54,19.57,7600
AFGD,26 Sep 2023,21.73,21.74,21.5,21.5,11600
AFGE,26 Sep 2023,17.64,17.71,17.2,17.48,9700
AFL,26 Sep 2023,77.23,77.3922,76.25,76.44,1793800
AFT,26 Sep 2023,13.55,13.6,13.41,13.41,116300
AG,26 Sep 2023,5,5.035,4.85,4.85,5471600
AGCO,26 Sep 2023,115.12,116.29,114.9,115.52,481500
AGD,26 Sep 2023,8.74,8.77,8.65,8.67,54200
AGI,26 Sep 2023,11.81,11.875,11.42,11.44,2153200
AGL,26 Sep 2023,18.39,18.89,18.28,18.8,1656100
AGM,26 Sep 2023,157.43,157.87,155.47,155.9,27300
AGM-C,26 Sep 2023,25.1352,25.1352,25.01,25.01,3200
AGM-D,26 Sep 2023,22.57,22.7,22.5,22.5,8100
AGM-E,26 Sep 2023,23.51,23.58,22.8101,23.58,2200
AGM-F,26 Sep 2023,20.54,20.5995,20.3001,20.375,5600
AGM-G,26 Sep 2023,18.95,18.95,18.6,18.61,4600
AGM.A,26 Sep 2023,128,128,128,128,100
AGO,26 Sep 2023,61.21,61.48,60.5,60.52,276000
AGR,26 Sep 2023,32.74,32.76,31.65,31.73,832800
AGRO,26 Sep 2023,11.36,11.54,11.36,11.49,274500
AGS,26 Sep 2023,6.87,7,6.55,6.55,204800
AGTI,26 Sep 2023,6.61,6.895,6.49,6.64,343700
AGX,26 Sep 2023,45.92,46.29,45.2,45.32,53800
AHH,26 Sep 2023,10.45,10.53,10.28,10.28,304200
AHH-A,26 Sep 2023,20.45,20.75,20.45,20.75,15400
AHL-C,26 Sep 2023,25.22,25.34,25.14,25.15,20800
AHL-D,26 Sep 2023,18.76,19.12,18.5758,18.58,19300
AHL-E,26 Sep 2023,18.15,18.25,18.03,18.0301,25700
AHT,26 Sep 2023,2.21,2.21,2.06,2.1,853000
AHT-D,26 Sep 2023,12.15,12.15,11.87,11.87,8500
AHT-F,26 Sep 2023,10.65,11.03,10.6,10.6,1600
AHT-G,26 Sep 2023,10.84,10.8454,10.53,10.7,4100
AHT-H,26 Sep 2023,11.2,11.2,10.29,11.14,5600
AHT-I,26 Sep 2023,10.92,10.98,10.5,10.75,3500
AI,26 Sep 2023,23.95,24.47,23.45,23.63,5707600
AIC,26 Sep 2023,24.06,24.1,24.04,24.04,4800
AIF,26 Sep 2023,13.46,13.49,13.13,13.19,137700
AIG,26 Sep 2023,61.75,62.45,61.23,61.26,3072400
AIG-A,26 Sep 2023,22.69,22.75,22.6201,22.74,47200
AIN,26 Sep 2023,84.82,85.3,83.48,83.53,112400
AIO,26 Sep 2023,16.67,16.78,16.3,16.3,171600
AIR,26 Sep 2023,60.97,61.7,59.22,59.22,376100
AIRC,26 Sep 2023,30.57,30.95,30.47,30.62,652500
AIT,26 Sep 2023,154.9,155.91,153.91,155.1,363100
AIU,26 Sep 2023,1.01,1.0127,1.01,1.01,1300
AIV,26 Sep 2023,6.99,7.02,6.73,6.76,994300
AIZ,26 Sep 2023,147.39,148.54,146.24,146.24,444300
AIZN,26 Sep 2023,19.33,19.4437,18.72,18.8,20000
AJG,26 Sep 2023,232.18,233.44,230.31,230.93,870000
AJX,26 Sep 2023,6.47,6.47,6.26,6.26,132300
AJXA,26 Sep 2023,24.49,24.56,24.49,24.5,12800
AKA,26 Sep 2023,0.4631,0.49,0.4083,0.4101,99000
AKO.A,26 Sep 2023,11.1,11.1,11,11,2500
AKO.B,26 Sep 2023,12.63,13.12,12.63,12.68,30800
AKR,26 Sep 2023,14.71,14.8,14.43,14.47,819100
AL,26 Sep 2023,39.58,39.73,39.25,39.27,327500
AL-A,26 Sep 2023,24.15,24.2491,23.88,23.88,21200
ALB,26 Sep 2023,164.51,166.16,162,163.65,2295200
ALC,26 Sep 2023,77.2,77.6,76.54,76.88,778100
ALCC,26 Sep 2023,10.35,10.37,10.34,10.37,5563100
ALE,26 Sep 2023,55.41,55.43,53.76,53.87,360900
ALEX,26 Sep 2023,16.79,16.815,16.5,16.57,336600
ALG,26 Sep 2023,172.8,174.9699,172.8,173.76,42500
ALIT,26 Sep 2023,7.25,7.315,7.175,7.27,2214600
ALK,26 Sep 2023,37.08,37.74,36.77,36.84,1487100
ALL,26 Sep 2023,114.83,115.36,112.725,113.27,1247100
ALL-B,26 Sep 2023,25.68,25.99,25.635,25.97,170900
ALL-H,26 Sep 2023,20.34,20.4999,20.1144,20.4,141200
ALL-I,26 Sep 2023,18.99,19.08,18.69,18.8472,50000
ALL-J,26 Sep 2023,26.83,26.87,26.73,26.8,65100
ALL.W,26 Sep 2023,0.303,0.517,0.2001,0.434,37600
ALLE,26 Sep 2023,103.1,103.725,101.93,102.09,545400
ALLG,26 Sep 2023,2.37,2.37,2.08,2.09,133300
ALLY,26 Sep 2023,26.51,26.835,26.1321,26.24,3342300
ALSN,26 Sep 2023,59.41,59.78,58.421,58.6,545000
ALT-A,26 Sep 2023,26.35,26.49,26.25,26.3085,4600
ALTG,26 Sep 2023,12.43,12.65,12.08,12.15,141800
ALU.W,26 Sep 2023,0.78,0.84,0.78,0.78,7500
ALUR,26 Sep 2023,5.06,5.335,4.18,4.18,315300
ALV,26 Sep 2023,97.34,97.44,95.11,95.16,377800
ALX,26 Sep 2023,184.66,184.67,180.18,181.48,8300
AM,26 Sep 2023,11.82,11.955,11.8,11.82,2769600
AMB.T,26 Sep 2023,0.11,0.11,0.11,0.11,400
AMBC,26 Sep 2023,12.57,12.67,12.23,12.38,451500
AMBP,26 Sep 2023,3.14,3.21,3.095,3.1,500200
AMC,26 Sep 2023,8.08,8.46,7.77,7.91,16714100
AMCR,26 Sep 2023,9.17,9.225,9.1,9.1,7791900
AME,26 Sep 2023,151.72,153.03,148.54,149.27,1519400
AMG,26 Sep 2023,131.85,132.78,131.53,131.73,303000
AMH,26 Sep 2023,33.94,34.225,33.86,34.02,2120200
AMH-G,26 Sep 2023,21.9,22.115,21.9,22.115,4200
AMH-H,26 Sep 2023,22.85,23.07,22.85,23.05,6800
AMK,26 Sep 2023,25.46,25.84,25.2,25.24,83300
AMN,26 Sep 2023,83,83.39,81.72,81.88,335600
AMP,26 Sep 2023,332.43,333.9509,327.48,327.93,407600
AMP.V,26 Sep 2023,0.25,0.269,0.2311,0.25,11900
AMPS,26 Sep 2023,5.37,5.57,5.32,5.35,933300
AMPX,26 Sep 2023,4.36,4.79,4.35,4.48,610100
AMPY,26 Sep 2023,7.06,7.21,7.045,7.13,516900
AMR,26 Sep 2023,245.3,251.51,241.0201,245.26,303700
AMRC,26 Sep 2023,41.38,42.82,40.43,40.48,252700
AMRX,26 Sep 2023,4.13,4.36,4.127,4.29,1158700
AMT,26 Sep 2023,163.34,164.89,162.65,162.91,2702800
AMTB,26 Sep 2023,18.03,18.03,17.71,17.72,40500
AMTD,26 Sep 2023,1.21,1.22,1.19,1.1999,48100
AMWL,26 Sep 2023,1.11,1.2,1.11,1.18,1196100
AMX,26 Sep 2023,16.99,17.195,16.79,16.79,2021800
AN,26 Sep 2023,149.69,151.95,149.02,150.64,450700
ANET,26 Sep 2023,179.43,179.735,177.11,177.92,1487800
ANF,26 Sep 2023,51.2,53.07,51.05,52.84,1629600
ANVS,26 Sep 2023,9.5,9.9,9.5,9.57,25800
AOD,26 Sep 2023,7.62,7.64,7.55,7.55,402100
AOMR,26 Sep 2023,9,9.03,8.46,8.46,70000
