Symbol,Date,Open,High,Low,Close,Volume
VOO,09 Sep 2010,102.5,102.5,101.14,101.32,53000
VOO,10 Sep 2010,101.68,101.86,101.3,101.78,17200
VOO,13 Sep 2010,102.96,103.14,102.5,103.06,67500
VOO,14 Sep 2010,102.84,103.48,102.38,103.04,118800
VOO,15 Sep 2010,102.62,103.38,102.4,103.3,18500
VOO,16 Sep 2010,103.02,103.32,102.7,103.26,119100
VOO,17 Sep 2010,103.88,103.88,103.02,103.36,98700
VOO,20 Sep 2010,103.74,105.04,103.46,105.04,38000
VOO,21 Sep 2010,105.02,105.44,104.28,104.72,38500
VOO,22 Sep 2010,104.56,105.04,103.96,104.16,36200
VOO,23 Sep 2010,103.32,104.34,103.12,103.3,66700
VOO,24 Sep 2010,103.94,104.9,103.86,104.84,48200
VOO,27 Sep 2010,104.98,104.98,104.34,104.34,30000
VOO,28 Sep 2010,104.32,105.02,103.42,105.02,99700
VOO,29 Sep 2010,104.58,104.92,104.22,104.52,31700
VOO,30 Sep 2010,105.2,105.68,103.96,104.36,89400
VOO,01 Oct 2010,105.08,105.16,104.16,104.72,34100
VOO,04 Oct 2010,105.26,105.26,103.5,103.84,177300
VOO,05 Oct 2010,105.02,106.2,104.82,106.12,39600
VOO,06 Oct 2010,106.12,106.28,105.62,105.94,553700
VOO,07 Oct 2010,106.5,106.5,105.32,105.88,99700
VOO,08 Oct 2010,106.02,106.74,105.66,106.68,123000
VOO,11 Oct 2010,106.72,106.84,106.28,106.5,28300
VOO,12 Oct 2010,106.38,107.24,105.74,107.12,84000
VOO,13 Oct 2010,107.58,108.28,107.24,107.76,148800
VOO,14 Oct 2010,107.7,107.82,106.8,107.36,38100
VOO,15 Oct 2010,108.04,108.08,106.72,107.56,109800
VOO,18 Oct 2010,107.62,108.44,107.44,108.34,45600
VOO,19 Oct 2010,107.14,107.68,106.02,106.62,77000
VOO,20 Oct 2010,106.94,108.16,106.94,107.76,45500
VOO,21 Oct 2010,108.26,108.76,107.32,107.92,58700
VOO,22 Oct 2010,108.16,108.2,107.94,108.18,49600
VOO,25 Oct 2010,108.9,109.28,108.46,108.5,59100
VOO,26 Oct 2010,107.92,108.56,107.88,108.48,29900
VOO,27 Oct 2010,107.74,108.22,107.22,108.14,34200
VOO,28 Oct 2010,108.76,108.82,107.76,108.22,38400
VOO,29 Oct 2010,108.1,108.42,108,108.3,26700
VOO,01 Nov 2010,108.92,109.42,107.76,108.36,103000
VOO,02 Nov 2010,109.22,109.42,108.86,109.2,52100
VOO,03 Nov 2010,109.42,109.66,108.32,109.66,63600
VOO,04 Nov 2010,110.9,111.8,110.74,111.72,97900
VOO,05 Nov 2010,111.9,112.3,111.68,112.16,96500
VOO,08 Nov 2010,111.88,112.08,111.5,112.02,86700
VOO,09 Nov 2010,112.18,112.3,110.8,111.14,71300
VOO,10 Nov 2010,111.16,111.6,110.32,111.56,56300
VOO,11 Nov 2010,110.68,111.28,110.42,111.2,47900
VOO,12 Nov 2010,110.4,110.86,109.38,109.82,78800
VOO,15 Nov 2010,110.3,110.52,109.64,109.72,405400
VOO,16 Nov 2010,109.02,109.02,107.48,107.96,65600
VOO,17 Nov 2010,108.06,108.46,107.78,108.04,84800
VOO,18 Nov 2010,109.08,109.92,109.08,109.64,52100
VOO,19 Nov 2010,109.5,109.94,109.04,109.9,40400
VOO,22 Nov 2010,109.42,109.8,108.58,109.8,50600
VOO,23 Nov 2010,108.56,108.64,107.92,108.26,284700
VOO,24 Nov 2010,108.94,109.78,108.94,109.66,60100
VOO,25 Nov 2010,109.66,109.66,109.66,109.66,0
VOO,26 Nov 2010,108.96,109.4,108.82,109.04,65200
VOO,29 Nov 2010,108.36,109.16,107.66,108.94,91900
VOO,30 Nov 2010,107.96,108.86,107.82,108.18,183800
VOO,01 Dec 2010,109.92,110.74,109.88,110.62,66600
VOO,02 Dec 2010,110.74,112.1,110.74,112.06,121200
VOO,03 Dec 2010,111.66,112.46,111.64,112.34,368100
VOO,06 Dec 2010,112.16,112.42,112,112.2,128200
VOO,07 Dec 2010,113.34,113.38,112.2,112.24,217900
VOO,08 Dec 2010,112.4,112.74,111.96,112.7,138000
VOO,09 Dec 2010,113.34,113.34,112.66,113.12,109600
VOO,10 Dec 2010,113.48,113.88,113.22,113.8,147800
VOO,13 Dec 2010,114.32,114.44,113.82,113.86,154000
VOO,14 Dec 2010,114.12,114.36,113.66,113.92,119300
VOO,15 Dec 2010,113.7,114.2,113.24,113.42,87100
VOO,16 Dec 2010,113.56,114.16,113.12,114.08,121100
VOO,17 Dec 2010,114,114.34,113.82,114.24,118100
VOO,20 Dec 2010,114.52,114.74,113.96,114.48,145100
VOO,21 Dec 2010,114.86,115.3,114.78,115.18,152300
VOO,22 Dec 2010,115.34,115.6,115.24,115.6,216400
VOO,23 Dec 2010,115.44,115.52,115.16,115.42,114700
VOO,24 Dec 2010,115.42,115.42,115.42,115.42,0
VOO,27 Dec 2010,114.46,115.02,114.4,114.98,143500
VOO,28 Dec 2010,115.22,115.22,114.8,115.1,113200
VOO,29 Dec 2010,115.32,115.44,115.2,115.2,107100
VOO,30 Dec 2010,115.12,115.26,114.88,115.02,157700
VOO,31 Dec 2010,114.76,115.14,114.68,115.14,291400
VOO,03 Jan 2011,115.9,116.66,115.9,116.22,238300
VOO,04 Jan 2011,116.56,116.56,115.5,116.12,216600
VOO,05 Jan 2011,115.86,116.8,115.72,116.74,233400
VOO,06 Jan 2011,116.84,116.92,116.22,116.54,144800
VOO,07 Jan 2011,116.7,116.86,115.48,116.3,164400
VOO,10 Jan 2011,115.88,116.28,115.48,116.2,248900
